Ainleys Storm-Petrel
Audubon's Shearwater
Bachmans Warbler
Baka Indigobird
Ballman's Malimbe
Banded Snake-Eagle
Barn Owl
Bartletts Tinamou
Batess Nightjar
Bedfords Paradise-Flycatcher
Berlepschs Tinamou
Black Magpie
Black-and-white Monarch
Black-bibbed Cuckooshrike
Black-bibbed Monarch
Black-billed Parrot
Black-chinned Monarch
Black-tailed Monarch
Black-tipped Monarch
Blood-breasted Flowerpecker
Blue-cheeked Parrot
Bolles Pigeon
Bonapartes Gull
Bonapartes Nightjar
Bonapartes Parakeet
Bonellis Eagle
Bothas Lark
Botteris Sparrow
Boucards Wren
Bougainville Monarch
Boultons Batis
Bourkes Parrot
Bowers Shrikethrush
Boyers Cuckooshrike
Bradfields Hornbill
Bradfields Swift
Brandts Cormorant
Brauns Bushshrike
Brazzas Martin
Brewers Blackbird
Brewers Sparrow
Bronze-naped Pigeon
Brookss Leaf Warbler
Bruces Green-Pigeon
Brush Cuckoo
Buff-chested Babbler
Campbells Fairywren
Cape Crombec
Cape Lark
Cape Petrel
Cassin's Honeyguide
Chapmans Bristle-Tyrant
Chatham Island Gerygone
Chatham Island Pigeon
Chatham Oystercatcher
Chatham Petrel
Chatham Robin
Chattering Giant-Honeyeater
Chestnut-breasted Wren
Chestnut-tailed Jungle Flycatcher
Cholo Alethe
Cinereous Tit
Clarke's Weaver
Cloud-scraping Cisticola
Common Cicadabird
Common Redpoll
Comoro Drongo
Congo Serpent-Eagle
Cretzschmars Babbler
Crossleys Ground-Thrush
Cuban Parrot
Dark-crowned White-eye
Delegorgue's Pigeon
Doria's Goshawk
Ducorps's Cockatoo
Dull Flycatcher
Eastern Cattle Egret
Eastern Mountain Greenbul
Eurasian Nutcracker
Fasciated Snake-Eagle
Fatuhiva Monarch
Festive Parrot
Fiji Whistler
Finschs Francolin
Fischers Greenbul
Flores White-eye
Forbess Forest Rail
Forest Weaver
Ganongga White-eye
Germain's Swiftlet
Gibber Chat
Goslings Apalis
Grants Bluebill
Gray-faced Liocichla
Gray-headed Social-Weaver
Gray-hooded White-eye
Gray-throated White-eye
Great Bittern
Great Kai White-eye
Green Sunbird
Green-backed Honeyguide
Greencap Eremomela
Halmahera Swiftlet
Herring Gull
Heuglin's White-eye
Hispaniolan Parrot
Hoary Redpoll
Hoffmannss Woodcreeper
Houbara Bustard
House Wren
Humes Boobook
Imperial Parrot
Island Thrush
Japanese Tit
Javan Cuckooshrike
Javan Gray-throated White-eye
Jerdons Courser
Kawall's Parrot
Kemps Longbill
Klagess Gnatcatcher
Kopje Warbler
Large Cuckooshrike
Lathams Francolin
Layard's White-eye
Lesser Bristlebill
Lesser Redpoll
Lilac-crowned Parrot
Little Kai White-eye
Loetoe Monarch
Long-tailed Cormorant
Long-tailed Woodcreeper
Mackinlay's Cuckoo-Dove
Macqueen's Bustard
Madagascar Bee-eater
Marquesas Ground Dove
Marquesas Imperial-Pigeon
Marquesas Kingfisher
Marquesas Monarch
Mealy Parrot
Meeks Lorikeet
Meeks Pygmy-Parrot
Meyers Goshawk
Mindanao White-eye
Moluccan Cuckoo
Mountain Serin
Mountain Wheatear
Nahans Partridge
Neumanns Warbler
North Papuan Pitta
Northern Mouse-colored Tyrannulet
Oceanic Flycatcher
Olive-rumped Serin
Orange-breasted Myzomela
Orange-winged Parrot
Peale's Imperial-Pigeon
Peters's Twinspot
Plain Xenops
Puerto Rican Parrot
Pygmy White-eye
Red-backed Scrub-Robin
Red-browed Parrot
Red-crowned Parrot
