bird_name,url,num,date_time,author
Louisiade Flowerpecker,https://ebird.org/species/louflo1,# 数量:  1,2023-09-21 07:15,观察者:  Charles Davies
Sassi's Greenbul,https://ebird.org/species/sasgre1,# 数量:  X,2023-09-14 08:13,观察者:  Davis M Barya
Kangean Tit-Babbler,https://ebird.org/species/gyctib3,# 数量:  21,2023-06-05 05:23,观察者:  Cameron Rutt
Lake Lufira Masked-Weaver,https://ebird.org/species/lalmaw1,# 数量:  1,2023-01-28 08:45,观察者:  marijn bauters
Bougainville Thrush,https://ebird.org/species/bouthr1,# 数量:  1,2022-11-04 09:45,观察者:  Jan-Uwe Schmidt
Louisiade Pitta,https://ebird.org/species/loupit1,# 数量:  2,2022-07-05 09:30,观察者:  Michael Smith
Abd al Kuri Sparrow,https://ebird.org/species/aakspa1,# 数量:  30,2022-03-17 14:35,观察者:  Robert Hutchinson
Mountain Starling,https://ebird.org/species/mousta1,# 数量:  1,2021-08-26 11:13,观察者:  Dominik Maximilián Ramík
Namuli Apalis,https://ebird.org/species/batapa5,# 数量:  2,2020-01-19 15:43,观察者:  Ross Gallardy
Long-billed Myzomela,https://ebird.org/species/recmyz3,# 数量:  2,2019-08-15 00:00,观察者:  Jason Gregg
Malaita Owl,https://ebird.org/species/solboo3,# 数量:  1,2018-10-23 00:00,观察者:  Corey Callaghan
Rubeho Akalat,https://ebird.org/species/rubaka1,# 数量:  1,2018-09-15 06:00,观察者:  Jonathan Rossouw
Golden-naped Weaver,https://ebird.org/species/gonwea1,# 数量:  30,2017-11-26 03:36,观察者:  Greg Homel
Kalao Blue Flycatcher,https://ebird.org/species/subfly5,# 数量:  6,2017-10-16 15:00,观察者:  John Clark
Zebra Woodpecker,https://ebird.org/species/burwoo3,# 数量:  3,2017-09-07 07:18,观察者:  Siti Sutedjo
Antioquia Brushfinch,https://ebird.org/species/antbrf1,# 数量:  1,2017-05-05 08:45,观察者:  Edwar H. Guarín (@edwarhguarin)
Blue-throated Hillstar,https://ebird.org/species/buthil1,# 数量:  1,2017-04-12 00:00,观察者:  Francisco Sornoza
Blue-bearded Helmetcrest,https://ebird.org/species/bubhel1,# 数量:  1,2016-12-17 14:30,观察者:  Ross Gallardy
Santa Marta Wren,https://ebird.org/species/samwre1,# 数量:  3,2016-12-17 14:30,观察者:  Ross Gallardy
Kofiau Paradise-Kingfisher,https://ebird.org/species/kopkin1,# 数量:  4,2016-11-17 05:45,观察者:  David Bishop
Kofiau Monarch,https://ebird.org/species/blbmon1,# 数量:  3,2016-11-17 05:45,观察者:  David Bishop
Annobon White-eye,https://ebird.org/species/anweye1,# 数量:  20,2016-10-22 12:00,观察者:  Brendan Sloan
Tacarcuna Wood-Quail,https://ebird.org/species/tawqua1,# 数量:  2,2016-09-29 07:00,"观察者:  Euclides ""Kilo"" Campos"
Morotai White-eye,https://ebird.org/species/crtwhe2,# 数量:  X,2016-09-01 00:00,观察者:  James Eaton
Shelley's Crimsonwing,https://ebird.org/species/shcwin1,# 数量:  1,2016-08-10 13:00,观察者:  Bertin Murhabale
Cordillera Azul Antbird,https://ebird.org/species/whiant1,# 数量:  2,2016-07-09 06:16,观察者:  Josh Beck
Meratus White-eye,https://ebird.org/species/merwhe1,# 数量:  6,2016-07-07 10:00,观察者:  Simon Mitchell
Meratus Blue Flycatcher,https://ebird.org/species/merjuf1,# 数量:  1,2016-07-07 10:00,观察者:  Simon Mitchell
Tachira Antpitta,https://ebird.org/species/tacant1,# 数量:  1,2016-06-14 06:30,观察者:  Jhonathan Miranda - Wandering Venezuela Birding Expeditions
Slender-tailed Cisticola,https://ebird.org/species/sltcis1,# 数量:  X,2016-02-20 07:30,观察者:  Warren McCleland
Bacan Myzomela,https://ebird.org/species/sulmyz3,# 数量:  3,2016-01-04 06:00,观察者:  Pam Rasmussen
Ainley's Storm-Petrel,https://ebird.org/species/leastp2,# 数量:  7,2015-11-30 07:45,观察者:  Robert Tizard
Sula Dwarf-Kingfisher,https://ebird.org/species/vardwk2,# 数量:  2,2015-11-19 00:00,观察者:  John Gregory
Makira Thrush,https://ebird.org/species/sacthr2,# 数量:  1,2015-10-31 12:45,观察者:  John C. Mittermeier
Santo Thicketbird,https://ebird.org/species/guathi2,# 数量:  1,2015-07-17 06:00,观察者:  David Bishop
Albertine Owlet,https://ebird.org/species/albowl1,# 数量:  1,2015-06-22 00:00,观察者:  Ethan Kistler
Mindanao Plumed-Warbler,https://ebird.org/species/minmib1,# 数量:  4,2015-04-07 06:00,观察者:  Pete Simpson
Auckland Islands Rail,https://ebird.org/species/auirai1,# 数量:  X,2015-01-05 00:00,观察者:  Paul Sagar
Buru Dwarf-Kingfisher,https://ebird.org/species/vardwk5,# 数量:  2,2014-12-09 07:15,观察者:  Craig Robson
Talaud Rail,https://ebird.org/species/talrai1,# 数量:  2,2014-11-06 07:28,观察者:  Rob Martin
