匹配结果
================================================================================
数据1中的鸟名                        数据2中的first_name                          URL
--------------------------------------------------------------------------------
Audubon's Shearwater           Audubon's Shearwater                     https://ebird.org/species/audshe
Baka Indigobird                Baka Indigobird                          https://ebird.org/species/bakind1
Ballman's Malimbe              Ballman's Malimbe                        https://ebird.org/species/balmal2
Banded Snake-Eagle             Banded Snake-Eagle                       https://ebird.org/species/baseag1
Barn Owl                       Barn Owl                                 https://ebird.org/species/brnowl
Black Magpie                   Black Magpie                             https://ebird.org/species/blamag1
Black-and-white Monarch        Black-and-white Monarch                  https://ebird.org/species/bawmon1
Black-bibbed Cuckooshrike      Black-bibbed Cuckooshrike                https://ebird.org/species/bkbcus1
Black-bibbed Monarch           Black-bibbed Monarch                     https://ebird.org/species/blbmon2
Black-billed Parrot            Black-billed Parrot                      https://ebird.org/species/blbpar1
Black-chinned Monarch          Black-chinned Monarch                    https://ebird.org/species/blcmon1
Black-tailed Monarch           Black-tailed Monarch                     https://ebird.org/species/bltmon1
Black-tipped Monarch           Black-tipped Monarch                     https://ebird.org/species/bltmon2
Blood-breasted Flowerpecker    Blood-breasted Flowerpecker              https://ebird.org/species/blbflo1
Blue-cheeked Parrot            Blue-cheeked Parrot                      https://ebird.org/species/blcpar2
Bougainville Monarch           Bougainville Monarch                     https://ebird.org/species/boumon1
Bronze-naped Pigeon            Bronze-naped Pigeon                      https://ebird.org/species/brnpig1
Brush Cuckoo                   Brush Cuckoo                             https://ebird.org/species/brucuc1
Buff-chested Babbler           Buff-chested Babbler                     https://ebird.org/species/bucbab1
Cape Crombec                   Cape Crombec                             https://ebird.org/species/capcro1
Cape Lark                      Cape Lark                                https://ebird.org/species/y00415
Cape Petrel                    Cape Petrel                              https://ebird.org/species/cappet
Cassin's Honeyguide            Cassin's Honeyguide                      https://ebird.org/species/cashon1
Chatham Island Gerygone        Chatham Island Gerygone                  https://ebird.org/species/chiger2
Chatham Island Pigeon          Chatham Island Pigeon                    https://ebird.org/species/nezpig3
Chatham Oystercatcher          Chatham Oystercatcher                    https://ebird.org/species/chaoys1
Chatham Petrel                 Chatham Petrel                           https://ebird.org/species/chapet1
Chatham Robin                  Chatham Robin                            https://ebird.org/species/charob1
Chattering Giant-Honeyeater    Chattering Giant-Honeyeater              https://ebird.org/species/chagih1
Chestnut-breasted Wren         Chestnut-breasted Wren                   https://ebird.org/species/chbwre1
Chestnut-tailed Jungle Flycatcher Chestnut-tailed Jungle Flycatcher        https://ebird.org/species/chtjuf1
Cholo Alethe                   Cholo Alethe                             https://ebird.org/species/choale1
Cinereous Tit                  Cinereous Tit                            https://ebird.org/species/gretit2
Clarke's Weaver                Clarke's Weaver                          https://ebird.org/species/clawea1
Cloud-scraping Cisticola       Cloud-scraping Cisticola                 https://ebird.org/species/clscis1
Common Cicadabird              Common Cicadabird                        https://ebird.org/species/cicada1
Comoro Drongo                  Comoro Drongo                            https://ebird.org/species/comdro1
Congo Serpent-Eagle            Congo Serpent-Eagle                      https://ebird.org/species/coseag1
Cuban Parrot                   Cuban Parrot                             https://ebird.org/species/cubpar1
Dark-crowned White-eye         Dark-crowned White-eye                   https://ebird.org/species/dacwhe1
Delegorgue's Pigeon            Delegorgue's Pigeon                      https://ebird.org/species/delpig1
Doria's Goshawk                Doria's Goshawk                          https://ebird.org/species/dorgos1
Ducorps's Cockatoo             Ducorps's Cockatoo                       https://ebird.org/species/duccoc1
Dull Flycatcher                Dull Flycatcher                          https://ebird.org/species/dulfly1
Eastern Mountain Greenbul      Eastern Mountain Greenbul                https://ebird.org/species/easmog1
Fasciated Snake-Eagle          Fasciated Snake-Eagle                    https://ebird.org/species/faseag1
Fatuhiva Monarch               Fatuhiva Monarch                         https://ebird.org/species/fatmon1
Festive Parrot                 Festive Parrot                           https://ebird.org/species/fespar1
Fiji Whistler                  Fiji Whistler                            https://ebird.org/species/fijwhi2
Flores White-eye               Flores White-eye                         https://ebird.org/species/flowhe1
Forest Weaver                  Forest Weaver                            https://ebird.org/species/forwea1
Ganongga White-eye             Ganongga White-eye                       https://ebird.org/species/gaweye1
Gibber Chat                    Gibber Chat                              https://ebird.org/species/descha1
Gray-faced Liocichla           Gray-faced Liocichla                     https://ebird.org/species/gyflio1
Gray-headed Social-Weaver      Gray-headed Social-Weaver                https://ebird.org/species/gyhsow1
Gray-hooded White-eye          Gray-hooded White-eye                    https://ebird.org/species/gyhwhe1
Gray-throated White-eye        Gray-throated White-eye                  https://ebird.org/species/gytwhe5
Gray-throated White-eye        Javan Gray-throated White-eye            https://ebird.org/species/jgtwhe1
Great Kai White-eye            Great Kai White-eye                      https://ebird.org/species/grkwhe1
Green Sunbird                  Green Sunbird                            https://ebird.org/species/gresun1
Green Sunbird                  Little Green Sunbird                     https://ebird.org/species/ligsun2
Green-backed Honeyguide        Green-backed Honeyguide                  https://ebird.org/species/grbhon2
Greencap Eremomela             Greencap Eremomela                       https://ebird.org/species/greere1
Halmahera Swiftlet             Halmahera Swiftlet                       https://ebird.org/species/molswi3
Heuglin's White-eye            Heuglin's White-eye                      https://ebird.org/species/heuwhe2
Hispaniolan Parrot             Hispaniolan Parrot                       https://ebird.org/species/hispar1
Hoary Redpoll                  Hoary Redpoll                            https://ebird.org/species/hoared
Houbara Bustard                Houbara Bustard                          https://ebird.org/species/houbus1
House Wren                     House Wren                               https://ebird.org/species/houwre
Imperial Parrot                Imperial Parrot                          https://ebird.org/species/imppar1
Island Thrush                  Island Thrush                            https://ebird.org/species/islthr1
Javan Cuckooshrike             Javan Cuckooshrike                       https://ebird.org/species/javcus1
Javan Gray-throated White-eye  Javan Gray-throated White-eye            https://ebird.org/species/jgtwhe1
Kawall's Parrot                Kawall's Parrot                          https://ebird.org/species/kawpar1
Kopje Warbler                  Kopje Warbler                            https://ebird.org/species/kopwar1
Layard's White-eye             Layard's White-eye                       https://ebird.org/species/laweye1
Lesser Bristlebill             Lesser Bristlebill                       https://ebird.org/species/lesbri2
Lesser Redpoll                 Lesser Redpoll                           https://ebird.org/species/lesred1
Lilac-crowned Parrot           Lilac-crowned Parrot                     https://ebird.org/species/licpar
Little Kai White-eye           Little Kai White-eye                     https://ebird.org/species/likwhe1
Loetoe Monarch                 Loetoe Monarch                           https://ebird.org/species/loemon1
Long-tailed Cormorant          Long-tailed Cormorant                    https://ebird.org/species/lotcor1
Long-tailed Woodcreeper        Long-tailed Woodcreeper                  https://ebird.org/species/lotwoo1
Mackinlay's Cuckoo-Dove        Mackinlay's Cuckoo-Dove                  https://ebird.org/species/macdov1
Macqueen's Bustard             Macqueen's Bustard                       https://ebird.org/species/macbus1
Madagascar Bee-eater           Madagascar Bee-eater                     https://ebird.org/species/mabeat1
Marquesas Ground Dove          Marquesas Ground Dove                    https://ebird.org/species/margrd1
Marquesas Imperial-Pigeon      Marquesas Imperial-Pigeon                https://ebird.org/species/marimp1
Marquesas Kingfisher           Marquesas Kingfisher                     https://ebird.org/species/markin2
Marquesas Monarch              Marquesas Monarch                        https://ebird.org/species/marmon2
Mealy Parrot                   Mealy Parrot                             https://ebird.org/species/meapar
Mindanao White-eye             Mindanao White-eye                       https://ebird.org/species/minwhe1
Moluccan Cuckoo                Moluccan Cuckoo                          https://ebird.org/species/molcuc1
Moluccan Cuckoo                Moluccan Cuckooshrike                    https://ebird.org/species/molcus1
Mountain Serin                 Mountain Serin                           https://ebird.org/species/mouser1
Mountain Wheatear              Mountain Wheatear                        https://ebird.org/species/mouwhe1
North Papuan Pitta             North Papuan Pitta                       https://ebird.org/species/pappit2
Northern Mouse-colored Tyrannulet Northern Mouse-colored Tyrannulet        https://ebird.org/species/moctyr7
Oceanic Flycatcher             Oceanic Flycatcher                       https://ebird.org/species/ocefly1
Olive-rumped Serin             Olive-rumped Serin                       https://ebird.org/species/olrser1
Orange-breasted Myzomela       Orange-breasted Myzomela                 https://ebird.org/species/orbmyz1
